													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2008	112	2	4	5	1	1	2	2	1	1	grav	20.11.2007	0.313633384	0.189362091	0.140564285	.
2008	112	2	4	6	1	1	4	3	1	1	grav	20.11.2007	0.256833588	0.208247034	0.125790463	.
2008	112	2	5	1	1	1	1	3	2	1	grav	20.11.2007	0.268889327	0.140921409	0.159900062	.
2008	112	2	5	2	1	1	2	4	2	1	grav	20.11.2007	0.29307026	0.101433637	0.201303623	.
2008	112	2	5	3	1	1	2	3	2	1	grav	20.11.2007	0.264943879	0.108108108	0.159979749	.
2008	112	2	5	4	4	1	5	4	2	1	grav	20.11.2007	0.247835376	0.085346216	0.172214825	.
2008	112	2	5	5	1	1	1	4	2	1	grav	20.11.2007	0.289392882	0.136341051	0.116644235	.
2008	112	2	5	6	4	1	2	4	2	1	grav	20.11.2007	0.296066946	0.095732139	0.166683524	.
2008	112	2	6	1	4	1	1	4	2	1	grav	20.11.2007	0.268620733	0.089461406	0.154672395	.
2008	112	2	6	2	4	1	4	2	2	1	grav	20.11.2007	0.263602848	0.135084864	0.140195387	.
2008	112	2	6	3	4	1	4	4	2	1	grav	20.11.2007	0.267031552	0.130620347	0.147874307	.
2008	112	2	6	4	1	1	2	2	2	1	grav	20.11.2007	0.284971098	0.136104022	0.185439112	.
2008	112	2	6	5	1	1	3	4	2	1	grav	20.11.2007	0.31207569	0.188913877	0.168729151	.
2008	112	2	6	6	1	1	4	4	2	1	grav	20.11.2007	0.2973462	0.259144084	0.176812423	.
2008	112	2	7	1	4	1	2	2	2	1	grav	20.11.2007	0.265013055	0.102862934	0.105426357	.
2008	112	2	7	2	1	1	4	2	2	1	grav	20.11.2007	0.274789804	0.10966811	0.081780428	.
2008	112	2	7	3	4	1	1	1	2	1	grav	20.11.2007	0.263243463	0.110894467	0.135225376	.
2008	112	2	7	4	1	1	1	1	2	1	grav	20.11.2007	0.278608027	0.122074346	0.144314399	.
2008	112	2	7	5	4	1	2	3	2	1	grav	20.11.2007	0.27081198	0.130880159	0.138077787	.
2008	112	2	7	6	1	1	1	2	2	1	grav	20.11.2007	0.243222157	0.193125647	0.099517426	.
2008	112	2	8	1	1	1	4	3	2	1	grav	20.11.2007	0.241408279	0.095581263	0.097548045	.
2008	112	2	8	2	1	1	5	4	2	1	grav	20.11.2007	0.268328619	0.145713952	0.076343846	.
2008	112	2	8	3	4	1	3	4	2	1	grav	20.11.2007	0.237197724	0.105315253	0.120931887	.
2008	112	2	8	4	4	1	4	3	2	1	grav	20.11.2007	0.26436851	0.135533553	0.104527052	.
2008	112	2	8	5	4	1	1	2	2	1	grav	20.11.2007	0.283455512	0.168005844	0.085096096	.
2008	112	2	8	6	4	1	1	3	2	1	grav	20.11.2007	0.28083004	0.235426009	0.124487198	.
2008	112	2	9	1	1	1	1	2	3	1	grav	20.11.2007	0.236072246	0.151312403	0.126417739	.
2008	112	2	9	2	4	1	5	4	3	1	grav	20.11.2007	0.259098882	0.095480291	0.135375388	.
2008	112	2	9	3	4	1	1	2	3	1	grav	20.11.2007	0.243282213	0.113009552	0.124442601	.
2008	112	2	9	4	1	1	5	4	3	1	grav	20.11.2007	0.270163349	0.138850379	0.161158895	.
2008	112	2	9	5	4	1	1	1	3	1	grav	20.11.2007	0.285364981	0.123323872	0.147216399	.
2008	112	2	9	6	4	1	4	4	3	1	grav	20.11.2007	0.305916878	0.270656323	0.15875755	.
2008	112	2	10	1	1	1	2	2	3	1	grav	20.11.2007	0.264191869	0.091513237	0.132343584	.
2008	112	2	10	2	1	1	1	3	3	1	grav	20.11.2007	0.244260291	0.098717949	0.093079238	.
2008	112	2	10	3	4	1	1	3	3	1	grav	20.11.2007	0.248451693	0.098062106	0.14669147	.
2008	112	2	10	4	1	1	4	4	3	1	grav	20.11.2007	0.274351787	0.132190942	0.14803199	.
2008	112	2	10	5	4	1	2	4	3	1	grav	20.11.2007	0.306577917	0.156028369	0.118120805	.
2008	112	2	10	6	1	1	2	4	3	1	grav	20.11.2007	0.290419162	0.152450091	0.118005451	.
2008	112	2	11	1	1	1	2	3	3	1	grav	20.11.2007	0.246284501	0.095924104	0.082890252	.
2008	112	2	11	2	1	1	4	2	3	1	grav	20.11.2007	0.243647541	0.080901474	0.075056616	.
2008	112	2	11	3	4	1	3	4	3	1	grav	20.11.2007	0.261459387	0.122222222	0.08960448	.
2008	112	2	11	4	4	1	4	2	3	1	grav	20.11.2007	0.305778153	0.106589656	0.104633366	.
2008	112	2	11	5	1	1	4	3	3	1	grav	20.11.2007	0.3056922	0.231917872	0.100373413	.
2008	112	2	11	6	4	1	4	3	3	1	grav	20.11.2007	0.287748059	0.159716758	0.153448912	.
2008	112	2	12	1	4	1	1	4	3	1	grav	20.11.2007	0.265306122	0.109029678	0.089253486	.
2008	112	2	12	2	1	1	1	1	3	1	grav	20.11.2007	0.213888889	0.108643744	0.093463846	.
2008	112	2	12	3	4	1	2	2	3	1	grav	20.11.2007	0.263286094	0.101329742	0.094896824	.
2008	112	2	12	4	1	1	1	4	3	1	grav	20.11.2007	0.255555556	0.091181451	0.149721801	.
2008	112	2	12	5	4	1	2	3	3	1	grav	20.11.2007	0.312178663	0.107427248	0.118469766	.
2008	112	2	12	6	1	1	3	4	3	1	grav	20.11.2007	0.256697478	0.112293691	0.134216336	.
2008	112	2	13	1	1	1	1	4	4	1	grav	20.11.2007	0.249784668	0.132008756	0.193319119	.
2008	112	2	13	2	4	1	1	1	4	1	grav	20.11.2007	0.261399788	0.135585213	0.128959276	.
2008	112	2	13	3	4	1	4	4	4	1	grav	20.11.2007	0.236171585	0.078903548	0.15695744	.
2008	112	2	13	4	1	1	1	3	4	1	grav	20.11.2007	0.252047952	0.172578616	0.1811036	.
2008	112	2	13	5	1	1	5	4	4	1	grav	20.11.2007	0.293982995	0.189620041	0.136820125	.
2008	112	2	13	6	4	1	1	4	4	1	grav	20.11.2007	0.268228765	0.177055104	0.198494327	.
2008	112	2	14	1	1	1	2	4	4	1	grav	20.11.2007	0.218014757	0.232282531	0.202898551	.
2008	112	2	14	2	4	1	1	3	4	1	grav	20.11.2007	0.256075472	0.265594855	.	.
2008	112	2	14	3	1	1	1	1	4	1	grav	20.11.2007	0.264161685	0.216870386	0.204352926	.
2008	112	2	14	4	1	1	4	4	4	1	grav	20.11.2007	0.279350918	0.206254846	0.238429852	.
2008	112	2	14	5	1	1	2	2	4	1	grav	20.11.2007	0.257670109	0.215320293	0.15715034	.
2008	112	2	14	6	1	1	1	2	4	1	grav	20.11.2007	0.256423821	0.228394229	0.212170033	.
2008	112	2	15	1	1	1	4	3	4	1	grav	20.11.2007	0.20358506	0.176611581	0.245931284	.
2008	112	2	15	2	4	1	5	4	4	1	grav	20.11.2007	0.223109928	0.201498017	0.248388987	.
2008	112	2	15	3	4	1	3	4	4	1	grav	20.11.2007	0.223728107	0.2323049	0.269651864	.
2008	112	2	15	4	4	1	2	4	4	1	grav	20.11.2007	0.244068612	0.22401457	0.241370987	.
2008	112	2	15	5	4	1	2	2	4	1	grav	20.11.2007	0.267430488	0.196898666	0.216604503	.
2008	112	2	15	6	1	1	3	4	4	1	grav	20.11.2007	0.244017881	0.173902133	0.180952381	.
2008	112	2	16	1	1	1	2	3	4	1	grav	20.11.2007	0.225551197	0.197538277	0.228548597	.
2008	112	2	16	2	4	1	1	2	4	1	grav	20.11.2007	0.213107898	0.194444444	0.232770022	.
